"id","latitude","longitude","name","docks"
22,37.789756,-122.394643,"Howard St at Beale St",26
220,37.811351,-122.273422,"San Pablo Ave at MLK Jr Way",18
221,37.794396,-122.253842,"6th Ave at E 12th St (Temporary Location)",15
222,37.792714,-122.24878,"10th Ave at E 15th St",15
223,37.764765,-122.420091,"16th St Mission BART Station 2",17
224,37.800459,-122.247459,"21st St at 5th Ave",23
225,37.785192,-122.234382,"23rd Ave at Foothill Blvd",15
226,37.781123,-122.232992,"26th Ave at International Blvd",15
228,37.77993,-122.217728,"Foothill Blvd at Harrington Ave",19
229,37.774153,-122.212398,"Bond St at High St",18
23,37.791464,-122.391034,"The Embarcadero at Steuart St",20
231,37.80875,-122.283282,"14th St at Filbert St",19
232,37.806163,-122.27604,"MLK Jr Way at 14th St",18
233,37.795913,-122.255547,"4th Ave at E 12th St (Temporary Location)",19
234,37.778058,-122.2254,"Fruitvale Ave at International Blvd",19
235,37.807239,-122.28937,"Union St at 10th St",19
237,37.775232,-122.224498,"Fruitvale BART Station",15
238,37.871719,-122.273068,"MLK Jr Way at University Ave",23
239,37.868813,-122.258764,"Bancroft Way at Telegraph Ave",19
24,37.789677,-122.390429,"Spear St at Folsom St",15
240,37.866043,-122.258804,"Haste St at Telegraph Ave",19
241,37.852477,-122.270213,"Ashby BART Station",22
242,37.860125,-122.269384,"Milvia St at Derby St",23
243,37.86936,-122.254337,"Bancroft Way at College Ave",29
244,37.873676,-122.268487,"Shattuck Ave at Hearst Ave",23
245,37.870139,-122.268422,"Downtown Berkeley BART",28
246,37.86906,-122.270556,"Berkeley Civic Center",26
247,37.867789,-122.265896,"Fulton St at Bancroft Way",22
248,37.855956,-122.259795,"Telegraph Ave at Ashby Ave",19
249,37.858473,-122.253253,"Russell St at College Ave",19
25,37.786928,-122.398113,"Howard St at 2nd St",18
250,37.873558,-122.283093,"North Berkeley BART Station",27
251,37.870555,-122.27972,"California St at University Ave",15
252,37.865847,-122.267443,"Channing Way at Shattuck Ave",23
253,37.866418,-122.253799,"Haste St at College Ave",23
254,37.880222,-122.269592,"Vine St at Shattuck Ave",15
255,37.876573,-122.269528,"Virginia St at Shattuck Ave",23
256,37.875112,-122.260553,"Hearst Ave at Euclid Ave",13
257,37.870407,-122.299676,"Fifth St at Delaware St",15
258,37.872356,-122.266447,"University Ave at Oxford St",23
