"bike_id","start_date","month","start_time","end_time","ride_time","time_frame","user_type","start_station_id","station_name"
857,"2017-06-28",6,"10:59:52.664","11:01:41.335",1,"short","Subscriber",42,"San Francisco City Hall (Polk St at Grove St)"
438,"2017-06-28",6,"11:02:36.123","11:09:22.872",6,"short","Subscriber",6,"The Embarcadero at Sansome St"
613,"2017-06-28",6,"11:02:49.792","11:11:02.262",8,"short","Subscriber",15,"San Francisco Ferry Building (Harry Bridges Plaza)"
84,"2017-06-28",6,"11:05:30.378","11:19:31.02",14,"meduim","Subscriber",59,"S Van Ness Ave at Market St"
349,"2017-06-28",6,"11:06:25.828","11:13:06.454",6,"short","Subscriber",50,"2nd St at Townsend St"
1048,"2017-06-28",6,"11:07:16.187","11:09:26.798",2,"short","Subscriber",323,"Broadway at Kearny"
609,"2017-06-28",6,"11:08:51.322","11:34:53.683",26,"meduim","Customer",42,"San Francisco City Hall (Polk St at Grove St)"
853,"2017-06-28",6,"11:11:21.191","11:32:22.438",21,"meduim","Subscriber",14,"Clay St at Battery St"
1048,"2017-06-28",6,"11:12:45.462","11:15:56.224",3,"short","Subscriber",9,"Broadway at Battery St"
711,"2017-06-28",6,"11:18:03.272","11:21:48.883",3,"short","Subscriber",6,"The Embarcadero at Sansome St"
962,"2017-06-28",6,"11:18:51.381","11:21:27.825",2,"short","Subscriber",23,"The Embarcadero at Steuart St"
244,"2017-06-28",6,"11:24:10.886","11:36:01.958",11,"meduim","Subscriber",23,"The Embarcadero at Steuart St"
639,"2017-06-28",6,"11:26:06.646","11:33:27.63",7,"short","Subscriber",21,"Montgomery St BART Station (Market St at 2nd St)"
669,"2017-06-28",6,"11:30:52.569","11:47:12.098",16,"meduim","Subscriber",59,"S Van Ness Ave at Market St"
13,"2017-06-28",6,"11:31:13.362","11:33:40.797",2,"short","Subscriber",11,"Davis St at Jackson St"
783,"2017-06-28",6,"11:33:42.79","11:38:46.142",5,"short","Subscriber",21,"Montgomery St BART Station (Market St at 2nd St)"
19,"2017-06-28",6,"11:35:16.753","11:49:58.048",14,"meduim","Subscriber",11,"Davis St at Jackson St"
329,"2017-06-28",6,"11:35:57.937","11:45:29.997",9,"short","Subscriber",21,"Montgomery St BART Station (Market St at 2nd St)"
899,"2017-06-28",6,"11:36:16.009","12:07:05.882",30,"long","Subscriber",4,"Cyril Magnin St at Ellis St"
244,"2017-06-28",6,"11:40:40.9","11:45:33.563",4,"short","Subscriber",81,"Berry St at 4th St"
181,"2017-06-28",6,"11:41:37.264","11:46:16.683",4,"short","Subscriber",13,"Commercial St at Montgomery St"
836,"2017-06-28",6,"11:41:49.439","11:56:56.387",15,"meduim","Subscriber",42,"San Francisco City Hall (Polk St at Grove St)"
170,"2017-06-28",6,"11:48:55.809","12:02:29.554",13,"meduim","Subscriber",66,"3rd St at Townsend St"
605,"2017-06-28",6,"11:49:05.551","11:59:26.744",10,"short","Subscriber",90,"Townsend St at 7th St"
639,"2017-06-28",6,"11:51:13.775","11:58:06.48",6,"short","Subscriber",36,"Folsom St at 3rd St"
287,"2017-06-28",6,"11:52:33.24","11:55:13.187",2,"short","Subscriber",66,"3rd St at Townsend St"
590,"2017-06-28",6,"11:54:59.389","12:03:14.886",8,"short","Subscriber",81,"Berry St at 4th St"
766,"2017-06-28",6,"11:55:25.433","12:02:12.692",6,"short","Subscriber",81,"Berry St at 4th St"
1057,"2017-06-28",6,"11:55:31.33","11:57:58.053",2,"short","Subscriber",17,"Embarcadero BART Station (Beale St at Market St)"
248,"2017-06-28",6,"11:56:10.878","12:11:11.392",15,"meduim","Subscriber",42,"San Francisco City Hall (Polk St at Grove St)"
734,"2017-06-28",6,"11:56:40.062","12:09:09.02",12,"meduim","Subscriber",44,"Civic Center/UN Plaza BART Station (Market St at McAllister St)"
77,"2017-06-28",6,"11:57:45.001","12:12:06.601",14,"meduim","Customer",9,"Broadway at Battery St"
1058,"2017-06-28",6,"11:57:47.663","12:22:10.823",24,"meduim","Subscriber",17,"Embarcadero BART Station (Beale St at Market St)"
892,"2017-06-28",6,"11:58:54.251","12:07:48.321",8,"short","Subscriber",5,"Powell St BART Station (Market St at 5th St)"
438,"2017-06-28",6,"12:01:01.441","12:04:01.7",3,"short","Subscriber",15,"San Francisco Ferry Building (Harry Bridges Plaza)"
294,"2017-06-28",6,"12:03:04.212","12:07:20.862",4,"short","Subscriber",21,"Montgomery St BART Station (Market St at 2nd St)"
206,"2017-06-28",6,"12:03:08.256","12:09:11.916",6,"short","Customer",63,"Bryant St at 6th St"
366,"2017-06-28",6,"12:07:52.653","13:13:40.306",5,"short","Subscriber",28,"The Embarcadero at Bryant St"
438,"2017-06-28",6,"12:08:32.963","12:22:33.119",14,"meduim","Subscriber",23,"The Embarcadero at Steuart St"
